verbatimScientificName,verbatimElement
Sylvilagus sp.,humerus
Sylvilagus sp.,maxillary
Sus scrofa,P2
Aves,carpometacarpus
Aves,phalanx
Testudines,
Testudines,
Chelonidae,marginal
Gopherus polyphemus,coracord
Gopherus polyphemus,scapula
Gopherus polyphemus,epiplastron
Gopherus polyphemus,pleural
Gopherus polyphemus,plastron
Gopherus polyphemus,pleural
Unidentified snake,vertebral
Unidentified fish,
Unidentified fish,
Clupeidae,atlases
Clupeidae,vertebrae
Elops saurus,vertebra
Ariidae,otolith
Ariidae,basioccipitals
Ariidae,spine articular
Ariidae,neurocranium
Ariidae,vertebrae
Ariidae,cleithrum
Ariidae,articular
Arridae,post-temporals
Arridae,coracord
Bagre marinus,neurocranium
Carangidae,pneumatics
Carangidae,cleithrum pneumatics
Carangidae,large pneumatic
Carangidae,vertebrae
Caranx sp.,vomer
Caranx sp.,maxilla
Caranx sp.,operculum
Caranx sp.,quadrate
Caranx sp.,dentary
Caranx sp.,dentary
Caranx sp.,premaxilla
Caranx sp.,premaxilla
Caranx sp.,premaxilla
Archosargus sp.,preoperculum
Archosargus sp.,maxilla
Archosargus sp.,hyomandibular
Archosargus sp.,premaxilla
Archosargus sp.,operculum
Archosargus sp.,articular
Archosargus sp.,operculum
Bairdiella sp.,atlases
Bairdiella sp.,maxillary
Cynoscion sp.,otolith
Cynoscion sp.,premaxilla
Cynoscion sp.,atlas
Cynoscion sp.,vertebrae
Micropogan sp.,otoliths
Micropogan sp.,atlas
Micropogan sp.,maxilla
Pogonias cromis,teeth
Pogonias cromis,teeth
Pogonias cromis,pharyngeal grinder
Mugil sp.,hyomandibulars
Mugil sp.,operculae
Mugil sp.,vertebra
Mugil sp.,vertebra
Mugil sp.,vertebra
Mugil sp.,vertebra
Trichiurus sp.,neurocranium
Trichiurus sp.,atlas
Trichiurus sp.,operculum
Trichiurus sp.,vertebrae
Trichiurus sp.,dentary
Trichiurus sp.,dentary
Trichiurus sp.,tooth
Paralichthys sp.,vertebrae
Paralichthys sp.,cervical vertebrae
Paralichthys sp.,vomer
Paralichthys sp.,articulars
Paralichthys sp.,premaxilla
Paralichthys sp.,premaxilla
Paralichthys sp.,dentary
Paralichthys sp.,maxillary
Paralichthys sp.,quadrate
Paralichthys sp.,
Opsanus sp.,?spine
Dasyatidae,vertebrae
Unidentified,
Unidentified,
Menippes mercenaria,claw
Aves,tibiotarsus
Gopherus polyphemus,coracord
Emydidae,
Emydidae,
Malaclemys terrapin,pleural
Unidentified fish,
Unidentified fish,
Ariidae,otolith
Ariidae,quadrate
Arridae,neurocranium
Arridae,articular
Carangidae,pneumatic
Archosargus sp.,premaxilla
Archosargus sp.,articular
Cynoscion sp.,vertebrae
Micropogan sp.,atlas
Pogonias cromis,pharyngeal grinders
Sciaenops ocellata,pharyngeal grinder
Mugil sp.,operculum
Mugil sp.,operculum
Mugil sp.,vertebrae
Mugil sp.,vertebrae
Trichiurus sp.,atlas
Trichiurus sp.,premaxilla
Trichiurus sp.,premaxilla
Trichiurus sp.,dentary
Paralichthys sp.,vertebrae (1)
Paralichthys sp.,cervical vertebra
Paralichthys sp.,dentary
Paralichthys sp.,maxilla
Paralichthys sp.,maxilla
Paralichthys sp.,premaxilla
Paralichthys sp.,premaxilla
Unidentified,
Crassostrea sp.,valves
Crassostrea sp.,valves
Crassostrea sp.,
Crassostrea sp.,
Crassostrea sp.,
Crassostrea sp.,
Crassostrea sp.,
Mercenaria sp.,umbo
Mercenaria sp.,umbo
Mercenaria sp.,valve
Mercenaria sp.,valve
Mercenaria sp.,
Mercenaria sp.,
"Mammal, Large",rib
"Mammal, Large",
"Mammal, Large",
Mammal,
Mammal,
Rodentia,femur
Rodentia,radius
Artiodactyla,metapodial
Artiodactyla,cranial
Artiodactyla,dental
Artiodactyla,radius
Artiodactyla,vertebra
Artiodactyla,vertebral
Artiodactyla,vertebral
Bos taurus,temporo-zygoma
Bos taurus,metapodial
Bos taurus,cervical vertebra
Bos taurus,scapula
Bos taurus,vertebral
Bos taurus,temporal
Bos taurus,sesamoid
Sus scrofa,maxillo-palatine
Sus scrofa,femur
Sus scrofa,radius
Sus scrofa,ulna
Sus scrofa,scapula
Sus scrofa,scapula
Sus scrofa,scapula
Sus scrofa,humerus
Sus scrofa,scapula
Sus scrofa,astragalus
Sus scrofa,dentary
Sus scrofa,ulna
Sus scrofa,radius
Sus scrofa,scapula
Sus scrofa,vertebra
Sus scrofa,tooth
Sus scrofa,
Aves,vertebrae
Aves,tibiotarsus
Testudines,
Chelonidae,radius
Anura,humerus
Unidentified fish,
Ariidae,neurocranium
Ariidae,vertebra
Bagre marinus,cleithrum
Cynoscion sp.,vertebrae
Pogonias cromis,tooth
Mugil sp.,hyomandibular
Mugil sp.,hyomandibular
Mugil sp.,operculum
Mugil sp.,vertebrae
Mugil sp.,vertebrae
Paralichthys sp.,vertebrae
Chondrichthys cf. Negaprion,vertebra
Carcharhinidae,tooth
Unidentified,
Unidentified,
"Mammal, Large",
"Mammal, Large",
Mammal,
Mammal,
Bos taurus,Pm2
Bos taurus,pisiform
Sus scrofa,Incisor
Sus scrofa,Ulna
Unidentified fish,
Ariidae,basioccipital
Arridae,neurocranium
Mugil sp.,vertebrae
Paralichthys sp.,vertebrae
Chondrichthys,cervical vertebrae
Unidentified,
Unidentified,
"Mammal, Large",
Mammal,
Sus scrofa,tibia
Unidentified fish,
Unidentified,
Unidentified,
"Mammal, Large",
"Mammal, Large",
Mammal,
Mammal,
Sus scrofa,tibia
Unidentified fish,
Sparidae,articular
Mugil sp.,vertebrae
Unidentified,
Unidentified,
Decapoda,cheliped
"Mammal, Large",
"Mammal, Large",
Mammal,
Rattus cf. norvegicus,maxilla
Bos taurus,entocuneiform
Bos taurus,femur
Bos taurus,tibia
Bos taurus,Pm2
Bos taurus,Incisors
Sus scrofa,humerus
Sus scrofa,M3
Sus scrofa,acetabulum of pelvis
Testudines,
Unidentified fish,
Unidentified fish,
Sparidae,preoperculum
Mugil sp.,vertebrae
Opsanus sp.,hyomandibular
Chondrichthys,vertebra
Unidentified,
Unidentified,
Unidentified,bone button
Menippes mercenaria,cheliped
"Mammal, Large",rib
"Mammal, Large",
"Mammal, Large",
Mammal,
Bos taurus,femur
Bos taurus,calcaneus
Bos taurus,tibia
Bos taurus,femur
Bos taurus,"scapula, *"
Bos taurus,teeth
Sus scrofa,ulna
Sus scrofa,humerus
Unidentified fish,
Sparidae,dentary
Sciaenidae,vertebrae
Cynoscion sp.,vertebra
Pogonias cromis,infrapharyngeal
Mugil sp.,vertebrae
Mugil sp.,vertebrae
Unidentified,
Unidentified,
"Mammal, Large",
"Mammal, Large",
Mammal,
Rattus sp.,tibiofibula
Bos taurus,ulna
Sus scrofa,canine
Sus scrofa,scapula
Aves,radius
Unidentified fish,
Unidentified,
"Mammalia, Large",
"Mammalia, Large",
Mammal,
Sus scrofa,calcaneus
Unidentified fish,
Unidentified,
"Mammal, Large",vertebral centra
"Mammal, Large",tooth
"Mammal, Large",
Mammalia,
Mammalia,worked bone
Rodentia,dentary
Rodentia,dentary
Rodentia,distal tibiofibula
Bos taurus,M2
Bos taurus,M2
Bos taurus,Incisor
Bos taurus,teeth
Aves,
Anura,
Bufo sp.,pelvis
Unidentified fish,
Arriidae,vertebra
Ariidae,neruocranium
Sparidae,operculum
Sparidae,maxillary
Cynoscion sp.,dentary
Pogonias cromis,tooth
Mugil sp.,vertebrae
Mugil sp.,vertebrae
Chondrichthys,tooth
Chondrichthys,vertebrae
Unidentified,
Unidentified,
"Mammal, Large",rib
"Mammal, Large",vertebral
"Mammal, Large",tooth
"Mammal, Large",
Mammal,
Aves,femur
Unidentified fish,
Ariidae,pectoral spine
Cynoscion sp.,vertebrae
Mugil sp.,vertebrae
Unidentified,
"Mammal, Large",vertebral
"Mammal, Large",
Mammal,
Mammalia cf. Bos,mandibular
Bos taurus,tooth
Unidentified fish,
Unidentified fish,
Ariidae,neurocranium
Pogonias cromis,infrapharyngeal grinder
Mugil sp.,vertebrae
Unidentified,
"Mammal, Large",
"Mammal, Large",
"Mammal, Large",
"Mammal, Large",tooth
Mammalia,
Mammalia,
Mammalia,
Rodentia,dentary
Rodentia,femur
Bos taurus,temporal
Bos taurus,premolar
Bos taurus,tooth
Bos taurus,calcaneus
Bufo sp.,pelvis
Unidentified fish,
Ariidae,vertebrae
Ariidae,spine
Ariidae,cleithrum
Ariidae,neurocranium
Ariidae,
Sparidae,articular
Archosargus sp.,premaxilla
Cynoscion sp.,vertebra
Pogonias cromis,intrapharyngeal grinder
Mugil sp.,vertebrae
Mugil sp.,hyomandibular
Paralichthys sp.,vertebrae
Unidentified,
"Mammal, Large",
"Mammal, Large",rib
"Mammal, Large",tooth
"Mammal, Large",ampullary bulla
Mammal,
Mammal,
Bos taurus,patella
Bos taurus,femur
Bos taurus,P2
Bos taurus,astragalus
Bos taurus,lunar
Bos taurus,cubonavicular
Bos taurus,entocuneiform
Bos taurus,magnum
Bos taurus,tooth
Bos taurus,tooth
Bos taurus,incisor
Bos taurus,scapula
Sus scrofa,tooth
Aves,
Testudines,
Unidentified fish,
Unidentified fish,
Ariidae,neurocranium
Bagre marinus,neurocranium
Sparidae,maxilla
Archosargus sp.,operculum
Archosargus sp.,hyomandibular
Archosargus sp.,premaxilla
Archosargus sp.,dentary
Mugil sp.,vertebra
Paralichthys sp.,vertebra
Chondrichthys,vertebrae
Unidentified,
Unidentified,
Menippes sp.,chiliped
Canis familiaris,premolar
Bos taurus,scapula
Bos taurus,humerus
Bos taurus,tibia
